score_overall,score_cleanliness,score_comfort,score_facilities,score_location,score_staff,score_value_for_money,city,star_rating,cleanliness_base,comfort_base,facilities_base,location_base,staff_base,value_for_money_base,country_group,traveller_type_Couple,traveller_type_Family,traveller_type_Solo,user_country_Australia,user_country_Brazil,user_country_Canada,user_country_China,user_country_Egypt,user_country_France,user_country_Germany,user_country_India,user_country_Italy,user_country_Japan,user_country_Mexico,user_country_Netherlands,user_country_New Zealand,user_country_Nigeria,user_country_Russia,user_country_Singapore,user_country_South Africa,user_country_South Korea,user_country_Spain,user_country_Thailand,user_country_Turkey,user_country_United Arab Emirates,user_country_United Kingdom,user_country_United States,user_gender_Male,user_gender_Other,age,diff_cleanliness,diff_comfort,diff_facilities,diff_overall_vs_star,diff_location,diff_staff,diff_value_for_money
8.7,8.6,8.7,8.5,9.0,8.8,8.7,New York,5,9.1,8.8,8.9,9.5,8.6,8.0,North_America,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,-0.5,-0.10000000000000142,-0.40000000000000036,3.6999999999999993,-0.5,0.20000000000000107,0.6999999999999993
9.1,10.0,9.1,9.0,8.6,9.4,8.6,Tokyo,5,9.6,9.0,9.3,8.5,9.5,8.2,East_Asia,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,0.40000000000000036,0.09999999999999964,-0.3000000000000007,4.1,0.09999999999999964,-0.09999999999999964,0.40000000000000036
8.8,9.7,8.8,8.3,8.7,8.1,8.6,Cairo,5,8.8,8.7,8.6,9.1,8.7,8.4,Africa,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,0.8999999999999986,0.10000000000000142,-0.29999999999999893,3.8000000000000007,-0.40000000000000036,-0.5999999999999996,0.1999999999999993
8.9,9.0,8.8,8.5,9.6,9.1,8.3,Barcelona,5,9.2,9.1,8.9,9.7,9.0,8.8,Western_Europe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,-0.1999999999999993,-0.29999999999999893,-0.40000000000000036,3.9000000000000004,-0.09999999999999964,0.09999999999999964,-0.5
9.1,8.9,9.5,9.3,8.3,9.4,8.9,Moscow,5,9.1,9.3,9.0,9.0,9.1,8.6,Eastern_Europe,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,-0.1999999999999993,0.1999999999999993,0.3000000000000007,4.1,-0.6999999999999993,0.3000000000000007,0.3000000000000007
8.7,8.2,8.7,8.1,9.5,9.0,8.8,Sydney,5,8.9,9.0,8.5,9.8,8.9,8.4,Oceania,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,-0.7000000000000011,-0.3000000000000007,-0.40000000000000036,3.6999999999999993,-0.3000000000000007,0.09999999999999964,0.40000000000000036
8.9,8.1,9.0,8.6,9.6,9.2,8.2,Buenos Aires,5,8.9,8.8,8.7,9.0,8.8,8.7,South_America,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,-0.8000000000000007,0.1999999999999993,-0.09999999999999964,3.9000000000000004,0.5999999999999996,0.3999999999999986,-0.5
8.8,8.1,8.7,9.3,9.3,9.5,7.4,Singapore,5,9.2,9.1,9.4,9.7,9.1,8.3,Southeast_Asia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,-1.0999999999999996,-0.40000000000000036,-0.09999999999999964,3.8000000000000007,-0.3999999999999986,0.40000000000000036,-0.9000000000000004
8.8,8.4,8.4,8.1,9.1,9.5,8.9,Mumbai,5,8.9,8.8,8.7,9.2,8.8,8.6,South_Asia,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,-0.5,-0.40000000000000036,-0.5999999999999996,3.8000000000000007,-0.09999999999999964,0.6999999999999993,0.3000000000000007
8.8,9.4,9.2,8.0,9.3,8.3,8.5,Cape Town,5,9.0,9.2,8.8,9.5,9.2,8.4,Africa,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0.40000000000000036,0.0,-0.8000000000000007,3.8000000000000007,-0.1999999999999993,-0.8999999999999986,0.09999999999999964
8.9,9.7,8.9,8.3,9.2,8.9,8.2,Mumbai,5,8.9,8.8,8.7,9.2,8.8,8.6,South_Asia,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,0.7999999999999989,0.09999999999999964,-0.3999999999999986,3.9000000000000004,0.0,0.09999999999999964,-0.40000000000000036
